Full Title,Artist,Genre,Instrument,Year
How It's Made: Shitcore,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,by ･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧ (2021)
Too Easily,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,by ･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧ (2022)
Yob A,CDR,Electronic / Dance,Drums,by CDR (2014)
I Dont Think So,CDR,Electronic / Dance,Drums,by CDR (2014)
Youchien Dream Theme Remix,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,by ･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧ (2021)
I Think Because You Do,CDR,Electronic / Dance,Drums,by CDR (2014)
BLUE BLUE BLUE,CDR,Electronic / Dance,Drums,by CDR (2014)
"Dont Feel, Think",CDR,Electronic / Dance,Drums,by CDR (2014)
Girl Loves Girl,Dj Bamberino,Electronic / Dance,Drums,by Dj Bamberino (2021)
Ghetto Messiah,RMS,Electronic / Dance,Drums,by RMS (2016)
My Soul,Confusious,Electronic / Dance,Drums,by Confusious (2019)
Run the Border,Evade,Electronic / Dance,Vocals / Lyrics,by Evade (2019)
This Is False Reizokocore,･ﾟ✧​(​=​✪ ᆺ ✪​=​) - ･ﾟ✧,Electronic / Dance,Drums,by ･ﾟ✧​(​=​✪ ᆺ ✪​=​) - ･ﾟ✧ (2022)
This One Goes Downhill Fast Sorry,･ﾟ✧​(​=​✪ ᆺ ✪​=​) - ･ﾟ✧,Electronic / Dance,Drums,by ･ﾟ✧​(​=​✪ ᆺ ✪​=​) - ･ﾟ✧ (2022)
Badman Nuh Test,Lavery,Electronic / Dance,Drums,by Lavery (2017)
Motion Sickness (Downtown Mix),Persons Unknown,Electronic / Dance,Drums,by Persons Unknown (2020)
The Love You Give,Lavery,Electronic / Dance,Drums,by Lavery (2017)
New Bust,Amen Andrews,Electronic / Dance,Drums,by Amen Andrews (2020)
Danger,Riffz,Electronic / Dance,Drums,by Riffz (2019)
Don't Tell Nobody,Riffz,Electronic / Dance,Drums,by Riffz (2015)
Junglist Days,S.Kid,Electronic / Dance,Drums,by S.Kid (2017)
Weak Soundboy Suicide,Riffz,Electronic / Dance,Drums,by Riffz (2019)
Dreamer '95,S.Kid,Electronic / Dance,Drums,by S.Kid (2017)
Love Todd 19,Cycheouts Ghost,Electronic / Dance,Multiple Elements,by Cycheouts Ghost (2019)
The Future Was Here,Msymiakos,Electronic / Dance,Drums,by Msymiakos (2014)
Timestretcha,Msymiakos,Electronic / Dance,Drums,by Msymiakos (2015)
Get Down,Crew 7,Hip-Hop / Rap / R&B,Multiple Elements,by Crew 7 feat. Young Sixx (2010)
Get Down,Young Sixx,Hip-Hop / Rap / R&B,Multiple Elements,by Crew 7 feat. Young Sixx (2010)
NyanCatFredOrange,Chaosmond,Electronic / Dance,Drums,by Chaosmond (2019)
On My Mind VIP,DJ Stretch,Electronic / Dance,Drums,by DJ Stretch and Skitty (2016)
On My Mind VIP,Skitty,Electronic / Dance,Drums,by DJ Stretch and Skitty (2016)
Obligatory Microtrack Minimix,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,by ･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧ (2021)
Bantha Dreams,Tusken Raiders,Electronic / Dance,Drums,by Tusken Raiders (2020)
Reckless,Sumone,Electronic / Dance,Drums,by Sumone (2004)
Party,The Boys From the Bottom,Hip-Hop / Rap / R&B,Multiple Elements,by The Boys From the Bottom (1992)
Untitled (A1),Mind Therapy,Electronic / Dance,Drums,by Mind Therapy (1994)
Untitled (B2),Tomba (2),Electronic / Dance,Drums,by Tomba (2) (1994)
Quien Soy,Lo' Pibitos,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Lo' Pibitos and DJ Baladi feat. ABRE (2018)
Quien Soy,DJ Baladi,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Lo' Pibitos and DJ Baladi feat. ABRE (2018)
Quien Soy,ABRE,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Lo' Pibitos and DJ Baladi feat. ABRE (2018)
Shimmy No. 1,Ras Kwame,Electronic / Dance,Vocals / Lyrics,by Ras Kwame (2001)
Pump This Party,Freakin' Fonz,Electronic / Dance,Drums,by Freakin' Fonz (1997)
Unless,μ-Ziq,Electronic / Dance,Drums,by μ-Ziq (2022)
Don't Tell Me (It's Ending),μ-Ziq,Electronic / Dance,Drums,by μ-Ziq (2022)
Missing the 90's,Msymiakos,Electronic / Dance,Drums,by Msymiakos (2019)
Chords From the Past,Msymiakos,Electronic / Dance,Drums,by Msymiakos (2019)
Here With Me,Conrad Subs,Electronic / Dance,Drums,by Conrad Subs (2020)
Get Sorted,Lock Jaw,Electronic / Dance,Drums,by Lock Jaw (1994)
Sour Track,Wizard Glue,Electronic / Dance,Drums,by Wizard Glue (2016)
Trendy Core #13,Passenger of Shit,Electronic / Dance,Drums,by Passenger of Shit feat. Virya Dadura Vamana (2007)
Trendy Core #13,Virya Dadura Vamana,Electronic / Dance,Drums,by Passenger of Shit feat. Virya Dadura Vamana (2007)
Drum Shanty,Dead Man's Chest,Electronic / Dance,Drums,by Dead Man's Chest (2019)
Jimmy (Lavery's 93 Remix),Missing,Electronic / Dance,Drums,by Missing (2020)
